"행정구역","2024년04월_남_총인구수","2024년04월_남_연령구간인구수","2024년04월_남_0~9세","2024년04월_남_10~19세","2024년04월_남_20~29세","2024년04월_남_30~39세","2024년04월_남_40~49세","2024년04월_남_50~59세","2024년04월_남_60~69세","2024년04월_남_70~79세","2024년04월_남_80~89세","2024년04월_남_90~99세","2024년04월_남_100세 이상","2024년04월_여_총인구수","2024년04월_여_연령구간인구수","2024년04월_여_0~9세","2024년04월_여_10~19세","2024년04월_여_20~29세","2024년04월_여_30~39세","2024년04월_여_40~49세","2024년04월_여_50~59세","2024년04월_여_60~69세","2024년04월_여_70~79세","2024년04월_여_80~89세","2024년04월_여_90~99세","2024년04월_여_100세 이상"
"강원특별자치도 정선군 남면(5177032000)","1,666","1,666","49","94","84","129","250","329","450","204","71","6","0","1,452","1,452","42","82","71","77","161","235","394","232","132","22","4"
"강원특별자치도 정선군 북평면(5177034000)","1,248","1,248","29","78","87","63","122","255","322","193","88","7","4","1,218","1,218","30","78","54","52","113","210","305","171","159","43","3"
"강원특별자치도 정선군 임계면(5177035000)","1,788","1,788","33","59","82","83","144","357","604","256","151","19","0","1,555","1,555","34","52","55","47","85","263","459","267","247","44","2"
"강원특별자치도 정선군 화암면(5177036000)","841","841","19","35","49","28","64","199","284","109","49","5","0","701","701","16","27","29","30","39","128","204","115","99","14","0"
"강원특별자치도 정선군 여량면(5177037000)","1,005","1,005","18","37","56","41","82","206","312","174","72","6","1","883","883","16","24","43","31","50","138","261","173","122","24","1"
"강원특별자치도 철원군 (5178000000)","21,235","21,235","1,289","1,683","2,732","2,418","2,498","3,577","3,959","1,987","1,001","90","1","19,828","19,828","1,270","1,524","1,612","1,805","2,241","3,100","3,761","2,405","1,808","287","15"
"강원특별자치도 철원군 철원읍(5178025000)","2,476","2,476","159","211","290","272","287","445","446","242","109","15","0","2,357","2,357","141","159","203","221","242","373","452","286","246","33","1"
"강원특별자치도 철원군 김화읍(5178025300)","1,643","1,643","114","125","225","239","173","232","284","146","90","14","1","1,450","1,450","110","115","119","169","139","168","269","175","156","27","3"
"강원특별자치도 철원군 갈말읍(5178025600)","6,152","6,152","371","478","853","681","743","1,043","1,131","558","273","21","0","5,418","5,418","307","408","453","494","664","912","1,039","655","421","61","4"
"강원특별자치도 철원군 동송읍(5178025900)","7,213","7,213","427","613","860","787","889","1,260","1,363","661","327","26","0","7,120","7,120","505","620","566","614","851","1,123","1,310","824","602","102","3"
"강원특별자치도 철원군 서면(5178031000)","940","940","56","49","199","141","83","117","155","88","49","3","0","747","747","53","28","73","82","63","92","140","104","95","16","1"
"강원특별자치도 철원군 서면와수출장소(5178031500)","1,719","1,719","108","143","194","164","222","320","329","155","77","7","0","1,723","1,723","93","142","132","130","214","284","330","203","166","27","2"
"강원특별자치도 철원군 근남면(5178032000)","1,046","1,046","54","62","110","133","96","150","242","129","66","4","0","960","960","61","51","66","95","66","140","211","140","109","20","1"
"강원특별자치도 철원군 근북면(5178033000)","46","46","0","2","1","1","5","10","9","8","10","0","0","53","53","0","1","0","0","2","8","10","18","13","1","0"
"강원특별자치도 화천군 (5179000000)","12,220","12,220","749","800","1,880","1,532","1,250","1,872","2,416","1,039","614","62","6","10,601","10,601","700","793","938","1,029","1,066","1,660","1,996","1,178","1,076","157","8"
"강원특별자치도 화천군 화천읍(5179025000)","4,189","4,189","323","364","578","558","529","630","712","296","178","19","2","3,928","3,928","303","340","387","446","482","598","591","379","357","42","3"
"강원특별자치도 화천군 간동면(5179031000)","1,376","1,376","24","50","133","69","88","306","414","172","103","16","1","1,188","1,188","18","62","50","41","81","224","304","201","170","35","2"
"강원특별자치도 화천군 하남면(5179032000)","1,489","1,489","57","118","142","110","176","265","368","151","94","7","1","1,307","1,307","49","107","102","85","142","229","280","139","152","21","1"
"강원특별자치도 화천군 상서면(5179033000)","2,130","2,130","114","52","591","332","145","244","375","162","104","10","1","1,461","1,461","108","84","141","148","95","206","297","183","176","21","2"
"강원특별자치도 화천군 사내면(5179034000)","3,036","3,036","231","216","436","463","312","427","547","258","135","10","1","2,717","2,717","222","200","258","309","266","403","524","276","221","38","0"
"강원특별자치도 양구군 (5180000000)","10,972","10,972","690","970","1,486","1,305","1,241","1,699","2,130","908","494","48","1","9,973","9,973","707","915","825","979","1,125","1,486","1,870","1,028","876","159","3"
"강원특별자치도 양구군 양구읍(5180025000)","6,816","6,816","568","786","820","921","917","1,029","1,090","430","235","19","1","6,604","6,604","611","758","596","790","878","949","1,013","521","420","67","1"
"강원특별자치도 양구군 국토정중앙면(5180031500)","1,814","1,814","50","89","288","159","145","303","451","207","110","12","0","1,441","1,441","36","69","84","74","120","215","385","218","196","43","1"
"강원특별자치도 양구군 동면(5180032000)","1,038","1,038","45","33","185","121","73","148","237","117","72","7","0","868","868","39","34","82","66","55","135","199","116","121","20","1"
"강원특별자치도 양구군 방산면(5180033000)","658","658","15","30","134","59","47","94","161","74","37","7","0","524","524","12","25","38","29","31","80","138","82","75","14","0"
"강원특별자치도 양구군 해안면(5180034000)","646","646","12","32","59","45","59","125","191","80","40","3","0","536","536","9","29","25","20","41","107","135","91","64","15","0"
"강원특별자치도 인제군 (5181000000)","17,283","17,283","1,151","1,106","2,571","2,316","2,073","2,627","3,319","1,401","655","57","7","14,485","14,485","1,068","1,092","1,202","1,579","1,762","2,165","2,879","1,407","1,106","218","7"
"강원특별자치도 인제군 인제읍(5181025000)","5,318","5,318","458","468","645","752","744","837","860","368","164","20","2","4,769","4,769","441","414","397","569","725","701","797","390","285","48","2"
"강원특별자치도 인제군 인제읍귀둔출장소(5181025100)","259","259","7","12","16","12","23","63","66","38","21","1","0","249","249","9","17","12","9","22","47","64","44","18","7","0"
"강원특별자치도 인제군 남면(5181031000)","2,065","2,065","108","80","316","346","226","288","429","184","80","7","1","1,696","1,696","101","106","165","179","155","246","377","173","153","40","1"
"강원특별자치도 인제군 북면(5181032000)","4,214","4,214","232","322","571","415","534","722","869","360","172","15","2","3,592","3,592","204","302","264","324","448","583","735","369","312","48","3"
"강원특별자치도 인제군 기린면(5181033000)","2,736","2,736","165","136","365","393","329","407","592","222","116","10","1","2,274","2,274","166","161","174","266","261","331","489","210","169","47","0"
"강원특별자치도 인제군 서화면(5181034000)","1,514","1,514","105","46","416","266","127","157","248","94","53","2","0","1,034","1,034","84","53","123","142","84","133","207","107","84","16","1"
"강원특별자치도 인제군 상남면(5181035000)","1,177","1,177","76","42","242","132","90","153","255","135","49","2","1","871","871","63","39","67","90","67","124","210","114","85","12","0"
